name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,percentile
Honbetsu,43.133400,143.562300,-1.0,2025-04-26,2025-04-15,11,0.4
Honbetsu,43.133400,143.562300,-1.0,2025-04-28,2025-04-15,13,0.1
Honbetsu,43.133400,143.562300,3.0,2025-04-17,2025-04-15,2,86.0
Honbetsu,43.133400,143.562300,3.0,2025-04-18,2025-04-15,3,6.3
Honbetsu,43.133400,143.562300,3.0,2025-04-21,2025-04-15,6,8.7
Honbetsu,43.133400,143.562300,3.0,2025-04-22,2025-04-15,7,12.9
Honbetsu,43.133400,143.562300,3.0,2025-04-23,2025-04-15,8,20.1
Honbetsu,43.133400,143.562300,3.0,2025-04-25,2025-04-15,10,22.0
Honbetsu,43.133400,143.562300,3.0,2025-04-26,2025-04-15,11,0.4
Honbetsu,43.133400,143.562300,3.0,2025-04-27,2025-04-15,12,1.2
Honbetsu,43.133400,143.562300,3.0,2025-04-28,2025-04-15,13,0.1
Honbetsu,43.133400,143.562300,3.0,2025-04-29,2025-04-15,14,5.8
Honbetsu,43.133400,143.562300,3.0,2025-04-30,2025-04-15,15,4.4
Honbetsu,43.133400,143.562300,3.0,2025-05-01,2025-04-15,16,1.9
Date,42.493500,140.866200,3.0,2025-04-17,2025-04-15,2,0.0
Date,42.493500,140.866200,3.0,2025-04-18,2025-04-15,3,0.5
Date,42.493500,140.866200,3.0,2025-04-26,2025-04-15,11,0.0
Date,42.493500,140.866200,3.0,2025-04-28,2025-04-15,13,0.1
Date,42.493500,140.866200,3.0,2025-04-30,2025-04-15,15,1.4
Date,42.493500,140.866200,3.0,2025-05-01,2025-04-15,16,0.0
Kitami,43.770900,143.820100,-1.0,2025-04-27,2025-04-15,12,2.7
Kitami,43.770900,143.820100,3.0,2025-04-18,2025-04-15,3,69.3
Kitami,43.770900,143.820100,3.0,2025-04-21,2025-04-15,6,15.6
Kitami,43.770900,143.820100,3.0,2025-04-22,2025-04-15,7,19.5
Kitami,43.770900,143.820100,3.0,2025-04-23,2025-04-15,8,22.4
Kitami,43.770900,143.820100,3.0,2025-04-24,2025-04-15,9,1.8
Kitami,43.770900,143.820100,3.0,2025-04-26,2025-04-15,11,2.3
Kitami,43.770900,143.820100,3.0,2025-04-27,2025-04-15,12,2.7
Kitami,43.770900,143.820100,3.0,2025-04-28,2025-04-15,13,5.5
Kitami,43.770900,143.820100,3.0,2025-04-29,2025-04-15,14,4.5
Kitami,43.770900,143.820100,3.0,2025-04-30,2025-04-15,15,3.4
Kitami,43.770900,143.820100,3.0,2025-05-01,2025-04-15,16,3.1
Chitose,42.923800,141.772500,3.0,2025-04-17,2025-04-15,2,0.7
Chitose,42.923800,141.772500,3.0,2025-04-18,2025-04-15,3,32.3
Chitose,42.923800,141.772500,3.0,2025-04-21,2025-04-15,6,1.2
Chitose,42.923800,141.772500,3.0,2025-04-22,2025-04-15,7,2.0
Chitose,42.923800,141.772500,3.0,2025-04-25,2025-04-15,10,1.6
Chitose,42.923800,141.772500,3.0,2025-04-26,2025-04-15,11,1.1
Chitose,42.923800,141.772500,3.0,2025-04-27,2025-04-15,12,0.8
Chitose,42.923800,141.772500,3.0,2025-04-28,2025-04-15,13,0.1
Chitose,42.923800,141.772500,3.0,2025-04-29,2025-04-15,14,7.9
Chitose,42.923800,141.772500,3.0,2025-04-30,2025-04-15,15,0.4
Chitose,42.923800,141.772500,3.0,2025-05-01,2025-04-15,16,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-26,2025-04-15,11,0.4
Honbetsu,43.133400,143.562300,-1.0,2025-04-28,2025-04-15,13,0.1
Honbetsu,43.133400,143.562300,3.0,2025-04-17,2025-04-15,2,86.0
Honbetsu,43.133400,143.562300,3.0,2025-04-18,2025-04-15,3,6.3
Honbetsu,43.133400,143.562300,3.0,2025-04-21,2025-04-15,6,8.7
Honbetsu,43.133400,143.562300,3.0,2025-04-22,2025-04-15,7,12.9
Honbetsu,43.133400,143.562300,3.0,2025-04-23,2025-04-15,8,20.1
Honbetsu,43.133400,143.562300,3.0,2025-04-25,2025-04-15,10,22.0
Honbetsu,43.133400,143.562300,3.0,2025-04-26,2025-04-15,11,0.4
Honbetsu,43.133400,143.562300,3.0,2025-04-27,2025-04-15,12,1.2
Honbetsu,43.133400,143.562300,3.0,2025-04-28,2025-04-15,13,0.1
Honbetsu,43.133400,143.562300,3.0,2025-04-29,2025-04-15,14,5.8
Honbetsu,43.133400,143.562300,3.0,2025-04-30,2025-04-15,15,4.4
Honbetsu,43.133400,143.562300,3.0,2025-05-01,2025-04-15,16,1.9
Date,42.493500,140.866200,3.0,2025-04-17,2025-04-15,2,0.0
Date,42.493500,140.866200,3.0,2025-04-18,2025-04-15,3,0.5
Date,42.493500,140.866200,3.0,2025-04-26,2025-04-15,11,0.0
Date,42.493500,140.866200,3.0,2025-04-28,2025-04-15,13,0.1
Date,42.493500,140.866200,3.0,2025-04-30,2025-04-15,15,1.4
Date,42.493500,140.866200,3.0,2025-05-01,2025-04-15,16,0.0
Kitami,43.770900,143.820100,-1.0,2025-04-27,2025-04-15,12,2.7
Kitami,43.770900,143.820100,3.0,2025-04-18,2025-04-15,3,69.3
Kitami,43.770900,143.820100,3.0,2025-04-21,2025-04-15,6,15.6
Kitami,43.770900,143.820100,3.0,2025-04-22,2025-04-15,7,19.5
Kitami,43.770900,143.820100,3.0,2025-04-23,2025-04-15,8,22.4
Kitami,43.770900,143.820100,3.0,2025-04-24,2025-04-15,9,1.8
Kitami,43.770900,143.820100,3.0,2025-04-26,2025-04-15,11,2.3
Kitami,43.770900,143.820100,3.0,2025-04-27,2025-04-15,12,2.7
Kitami,43.770900,143.820100,3.0,2025-04-28,2025-04-15,13,5.5
Kitami,43.770900,143.820100,3.0,2025-04-29,2025-04-15,14,4.5
