name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile,bias_mode,bias_value,bias_samples,bias_target
Honbetsu,43.133400,143.562300,-1.0,2025-04-11,2025-04-10,1,0,-0.10,0.2,lead_trim,1.549,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-12,2025-04-10,2,0,1.90,0.0,lead_trim,2.084,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-13,2025-04-10,3,0,5.20,0.0,lead_trim,2.626,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-14,2025-04-10,4,0,2.90,0.0,lead_trim,3.021,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-15,2025-04-10,5,0,5.90,0.0,lead_trim,3.561,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-16,2025-04-10,6,0,6.70,0.0,lead_trim,3.776,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-17,2025-04-10,7,0,2.80,0.0,lead_trim,4.537,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-18,2025-04-10,8,0,-0.50,0.0,lead_trim,4.838,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-19,2025-04-10,9,0,5.30,0.0,lead_trim,5.503,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-20,2025-04-10,10,0,5.70,0.0,lead_trim,5.596,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-21,2025-04-10,11,0,1.80,0.0,lead_trim,5.890,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-22,2025-04-10,12,0,1.40,0.0,lead_trim,5.725,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-23,2025-04-10,13,0,2.90,0.0,lead_trim,5.916,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-24,2025-04-10,14,0,5.80,0.0,lead_trim,5.790,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-25,2025-04-10,15,0,2.60,0.0,lead_trim,5.742,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-26,2025-04-10,16,1,-1.50,0.0,lead_trim,5.770,90,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-27,2025-04-10,17,0,-0.60,3.8,lead_trim,-0.567,12,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-28,2025-04-10,18,1,-2.50,2.7,lead_trim,-0.567,12,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-29,2025-04-10,19,0,0.60,2.5,lead_trim,-0.567,12,p10
Honbetsu,43.133400,143.562300,-1.0,2025-04-30,2025-04-10,20,0,0.80,1.6,lead_trim,-0.567,12,p10
